ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
12,ba114e8c-fb47-41ca-b0d3-2618098e87ac,1,Left_Bank,2,0.43,0.56,0.37,90c35964-7174-472c-b4ff-952ff2c2b29b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
13,fd53e238-53a5-42e5-b268-69350084c041,1,Right_Bank,1.5,0.58,0.51,0.45,1dabce74-12ea-4b62-8a2e-26c58d66d42a,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
14,eff00a86-7327-4f0f-8452-e36f0d71000b,1,Right_Bank,12.5,0.63,0.5,0.68,f056debc-bd23-43cb-a4bf-df0adf04cfcb,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
15,5fad2f5d-4e81-44e5-8f3d-6e88c7c5d7ce,2,Right_Bank,3,0.5,0.72,0.63,f056debc-bd23-43cb-a4bf-df0adf04cfcb,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
16,e995b45c-90dd-408b-9280-23270663b32f,1,Left_Bank,10,0.27,0.29,0.5,03dccb22-766e-4895-8948-6079c72b950b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
17,31238b14-e1a8-4eae-9158-b0212557f727,2,Left_Bank,6,0.29,0.35,0.25,03dccb22-766e-4895-8948-6079c72b950b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
18,c3b6d881-5778-473b-bf7d-dd0a323fe710,3,Left_Bank,3,0.52,0.5,0.33,03dccb22-766e-4895-8948-6079c72b950b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
19,24a27164-a272-4870-90c0-dad3c8c4f91c,4,Left_Bank,1.7,0.57,0.51,0.47,03dccb22-766e-4895-8948-6079c72b950b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
20,db1911fc-932e-4977-820e-1df9be80101f,5,Left_Bank,2,0.51,0.5,0.48,03dccb22-766e-4895-8948-6079c72b950b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
21,c25696e5-e8ff-45b0-a59f-44e6cc3f81c8,6,Left_Bank,1.5,0.45,0.33,0.38,03dccb22-766e-4895-8948-6079c72b950b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
22,b6138c2d-037b-4091-ba91-b7e20fb446a8,7,Right_Bank,3,0.65,0.4,0.31,03dccb22-766e-4895-8948-6079c72b950b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
23,a5c1e0e0-7a9d-4406-b9e0-089c5718fe0b,8,Right_Bank,2.7,0.58,0.7,0.78,03dccb22-766e-4895-8948-6079c72b950b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
24,50dee298-e860-4242-b777-a59f8c333aac,1,Left_Bank,1.7,0.27,0.27,0.33,8043a1a3-51ee-4707-b843-c58f6fc8e5e3,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
25,11c7d2a1-98e4-4318-bed4-5b4c30bc3768,1,Right_Bank,2.3,0.5,0.53,0.45,f8b8b9ea-f3eb-4da7-8ca7-42f064698c4c,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
26,d4f6151f-5d5a-48ea-84ca-a79fd436efc0,1,Right_Bank,1.8,0.31,0.45,0.43,845f8e27-ac74-4f28-a354-3d0c1a082a99,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
27,22854b11-a283-492a-aae2-49d99cfee0e9,1,Right_Bank,1.7,0.28,0.42,0.27,753190a5-2c4b-4e01-bd35-652694df5c56,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
28,62ef680a-cf77-488f-aebd-089fef15f2b8,2,Right_Bank,1.6,0.28,0.36,0.33,753190a5-2c4b-4e01-bd35-652694df5c56,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
29,995f2605-8a74-4e1d-aec7-85f7a6947709,3,Right_Bank,1.7,0.31,0.41,0.41,753190a5-2c4b-4e01-bd35-652694df5c56,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
30,eb6a00a1-8d28-430e-9141-8caa37df95c9,4,Right_Bank,1.53,0.53,0.54,0.3,753190a5-2c4b-4e01-bd35-652694df5c56,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
31,306c1fa3-2845-4ee5-842f-f54ef1955c4a,1,Island,1.6,0.29,0.43,0.48,db0c6b42-9cfc-4ae3-a888-e87df7f41039,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
32,6bd40e35-b685-4fff-b8bd-ed508015f941,1,Left_Bank,2.7,0.57,0.27,0.35,feffafb6-3221-4559-9b85-d12112dfee10,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
33,f17943dd-1ad4-41b5-a515-2936d1510b15,1,Left_Bank,1.6,1.15,1.05,0.57,0a95e56e-74b7-4a2e-813b-0e4e8a84ebd4,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
34,745c66a7-9bd5-45ca-96d8-d02d3a55e4b5,1,Left_Bank,2.4,0.24,0.48,0.29,b701738b-f733-4a3d-8a70-13ffd2706d97,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
35,7f2f7d70-a863-4cc5-a476-ff260dd645af,1,Right_Bank,5,0.33,0.45,0.31,9adf5a06-1c76-4c6d-a442-ac0dce862413,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
36,096ce0fd-0cac-4f7a-8246-92bbe9122454,2,Right_Bank,3,0.37,0.55,0.65,9adf5a06-1c76-4c6d-a442-ac0dce862413,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
37,9a6946d6-23c0-4432-ac0d-37a7866031b5,1,Left_Bank,1.5,0.3,0.47,0.4,34e45d8b-64f4-4b14-ab81-e47762c9fdee,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
38,14335f89-c4f6-45b7-b3df-d336e4f3ed17,1,Right_Bank,1.5,0.25,0.35,0.4,01319daa-1561-4f05-ae29-38f66592b627,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
39,528039bd-746b-4b62-a136-046bb8b126b4,1,Right_Bank,1.7,0.35,0.55,0.67,210e89f7-a1f0-4556-8b9a-84b01c97666b,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
40,f045d35a-9edf-4000-b3f9-b73583e48ccd,1,Right_Bank,1.5,0.2,0.2,0.25,b5d91fe5-0b50-4cfd-9444-3aac7d6a5ed0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
41,3d5df6e5-2f8c-4daa-9051-a07367045f7b,1,Left_Bank,2.5,0.3,0.22,0.25,cc3ff3e7-dedb-4f64-ad37-a51e5b5496ec,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
42,280abd6b-7450-4628-a89b-a4c63e4192f8,1,Right_Bank,10,0.22,0.34,0.37,09c9cf20-a47e-450c-aac3-eba8090efdf8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
43,93faf914-fbb0-4852-a523-0dde2d2de622,1,Left_Bank,9,0.18,0.35,0.3,37b0cfee-a2ea-45e8-9847-cf26796e8804,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
44,dac15504-70ce-47bc-b44a-22ecf360f300,1,Left_Bank,1.5,0.2,0.36,0.23,ef93fb7e-56a9-419e-acab-3cf94b755cbd,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
45,05d62763-0f2c-44e7-8221-4145d6329690,1,Right_Bank,2,0.2,0.2,0.35,5e9e3163-0b32-4419-b2af-e7f49c761820,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
46,d9e77a6d-b1b1-40b6-96e7-3d003bc478b8,1,Right_Bank,1,0.2,0.2,0.29,477fd1b1-30ef-48a1-9926-2872139190cc,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
47,436c0ae0-5ad0-47f2-b03c-3ba4e1d954f8,1,Right_Bank,6,0.24,0.35,0.28,3f861e7e-2cc7-4aae-861c-cfc4a60af514,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
48,a4507f7c-adec-402f-84c6-8c6a1da48f0d,1,Left_Bank,1,0.2,0.34,0.33,0c31c4e8-6d4a-4b4c-b9fa-e1f81bd19a86,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
49,67ad4451-c79b-4519-886c-62965ecb8909,1,Left_Bank,1,0.18,0.31,0.55,1464a98c-6f69-4505-8263-75c004aaae76,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
50,d7d07a62-d2a1-46b5-ae88-34ab5b8068a6,1,Left_Bank,1.3,0.27,0.36,0.41,5d9c9ca4-c0cc-415b-87aa-aa2a99411c80,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
51,a9092b84-b43b-43a9-b445-6b823ffcec49,1,Right_Bank,3.5,0.28,0.46,0.98,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
52,0f930503-89fd-4e70-a157-ebf32686f95d,2,Right_Bank,4.75,0.38,0.46,0.64,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
53,1d25a262-5250-40ae-94c7-5791659a3033,3,Left_Bank,6,0.7,0.36,0.75,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
54,fafec092-267c-4594-9922-379cdaead247,4,Left_Bank,2,0.34,0.2,0.2,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
55,45e33011-de57-472d-ad30-afa0830fede9,5,Right_Bank,2,0.3,0.34,0.5,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
56,f7d07151-b9c4-4f82-b1b0-7bf56e3d0022,6,Left_Bank,1.75,0.66,0.27,0.45,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
57,8afd215f-5107-4ac6-b29c-d2e44539248e,7,Right_Bank,1,0.41,0.5,0.32,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
58,89c11d75-97d2-4010-b924-a8861fcf91b9,8,Right_Bank,2,0.2,0.25,0.23,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
59,66744b9a-7bf3-46c8-82d4-acaa77b30c1b,9,Right_Bank,4.5,0.2,0.4,0.39,a1fcdf0d-ad57-4dd2-a8b3-dc815c22c5a8,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
60,fdbc56e4-b126-40a1-83a6-1b06cf5a2782,1,Right_Bank,1.5,0.24,0.24,0.2,3219a063-d2f8-4a53-8901-5af6c26f0cc6,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
61,79bae6d5-0f5d-41e6-a221-ca875478586b,1,Left_Bank,1.5,0.23,0.25,0.2,48ba1b56-22e5-47a7-a627-f04468524fe3,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
62,83238876-a79c-4544-ac0d-691c48b53909,1,Right_Bank,5,0.43,0.65,0.5,7798988a-4989-4004-98a9-0a649c0f3bec,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
63,04e8e2e4-29a6-4922-9e24-1259213c23fc,2,Right_Bank,10,0.22,0.42,0.47,7798988a-4989-4004-98a9-0a649c0f3bec,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
64,0aae2966-4c91-463d-bafe-431a8678c6d4,3,Left_Bank,2,0.5,0.38,0.4,7798988a-4989-4004-98a9-0a649c0f3bec,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
65,732e98e0-283c-4517-b2f4-cd21f782a9f4,4,Left_Bank,6,0.4,0.29,0.25,7798988a-4989-4004-98a9-0a649c0f3bec,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
66,37f4a2c9-f1e4-46e4-ad92-61afbd996947,5,Left_Bank,2.5,0.3,0.46,0.38,7798988a-4989-4004-98a9-0a649c0f3bec,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
67,c9ae4c30-6dbf-402d-a070-733d7f45c9ee,6,Right_Bank,10,0.75,0.5,0.28,7798988a-4989-4004-98a9-0a649c0f3bec,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
68,0f476d37-0082-45ac-aa6c-c30836bdd3e0,7,Left_Bank,12,0.47,0.5,0.52,7798988a-4989-4004-98a9-0a649c0f3bec,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
69,4eb8a2d8-cfa0-43cd-aca2-66ac2c3046c9,1,Right_Bank,8.5,0.34,0.51,0.6,2ce20b17-0bd2-4c3c-9761-677801afb6dd,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
70,ef9207da-10bb-4b74-a319-860d57feda98,1,Left_Bank,10,0.28,0.35,0.37,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
71,066dfe2d-7f33-4843-b5d6-9fa0ea4aa9b5,2,Right_Bank,7,0.39,0.36,0.41,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
72,4bdf9579-42cb-4a59-92e5-838c7dcc1202,3,Left_Bank,2,0.2,0.72,0.35,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
73,e35c17dc-99fd-4e3d-97c7-6b0390c72914,4,Right_Bank,3,0.23,0.52,0.4,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
74,950ab977-2d52-4202-a96b-f2b562a67be2,5,Left_Bank,5,0.44,0.42,0.58,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
75,ad957ede-3042-4a47-8bff-c6cd797c30ba,6,Left_Bank,4.5,0.44,0.3,0.33,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
76,bd05d5a5-0048-41d6-a35f-72ce316dd660,7,Left_Bank,4,0.48,0.32,0.28,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
77,9684ba04-20d0-4e42-b013-b3a88c64950d,8,Right_Bank,1.2,0.45,0.43,0.2,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
78,f9ed3dfa-370d-40c4-96af-bb144aa92bbc,9,Right_Bank,4,0.3,0.4,0.55,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
79,c5db9b27-06a6-41ab-bb89-864e52816600,10,Left_Bank,3,0.35,0.27,0.33,82c8903d-9fed-45f4-a55a-9ee4d05425c0,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
80,f6ef814b-546a-41e1-bf03-b22d3d568b4c,1,Left_Bank,1.8,0.56,0.44,0.3,7df772de-cf3d-4b2a-a809-1c4d13fd9619,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
81,abb0977f-973e-486c-860c-5875c13e8b71,1,Right_Bank,14,0.36,0.5,0.95,47de4d6c-3dc5-4117-9340-f6be43e8ca9c,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
82,2914ef3f-f0af-4df0-af6c-c1b676c7a74d,2,Right_Bank,1.5,0.4,0.35,0.44,47de4d6c-3dc5-4117-9340-f6be43e8ca9c,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
83,d7f4f6b6-fbdd-4c77-8776-831f6af71301,3,Left_Bank,10,0.62,0.48,0.57,47de4d6c-3dc5-4117-9340-f6be43e8ca9c,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
84,0f816ac6-4b90-4ce9-9b58-70c2c79bc324,1,Right_Bank,4.5,0.5,0.41,0.3,eb8c9471-5526-4d78-b984-bf1fc80245a3,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
85,871c8399-1c27-4f1c-bf2e-47f5b5f9cc5f,2,Right_Bank,4.8,0.35,0.4,0.2,eb8c9471-5526-4d78-b984-bf1fc80245a3,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
86,829e799d-93e5-4320-9ccd-ee6974937f92,3,Right_Bank,5,0.43,0.38,0.26,eb8c9471-5526-4d78-b984-bf1fc80245a3,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
87,ef46228b-dcd6-4de5-b2ae-019a0d2b1a91,4,Left_Bank,1.25,0.38,0.35,0.3,eb8c9471-5526-4d78-b984-bf1fc80245a3,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
88,435046cc-c128-4fb2-a6f2-441777d05d81,1,Right_Bank,2,0.23,0.2,0.3,0a14d942-78af-4c49-83c5-95a00efd55cf,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
89,7b823ebb-cc3f-42f6-9552-187c257d7b74,2,"Right_Bank,Left_Bank",2.5,0.39,0.3,0.37,0a14d942-78af-4c49-83c5-95a00efd55cf,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
90,8d9a75c5-7ac7-43c9-b87a-53f98e30c78a,3,Right_Bank,1.25,0.25,0.35,0.41,0a14d942-78af-4c49-83c5-95a00efd55cf,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
91,962a0451-3957-483c-9d9e-c5ab30fd3c2e,4,Right_Bank,4,0.28,0.35,0.2,0a14d942-78af-4c49-83c5-95a00efd55cf,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
92,739b3258-dd12-4391-a4e8-f80cca367db2,5,Left_Bank,5,0.36,0.32,0.2,0a14d942-78af-4c49-83c5-95a00efd55cf,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
93,73ca282a-dd27-4646-8e7a-c20eb65e3865,1,Right_Bank,1.5,0.28,0.27,0.2,c627b92c-5eb1-471a-90e6-d0ae93494d68,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
94,86e2b45d-32a7-49c1-acff-d3c9b268ce0f,1,Right_Bank,1.5,0.2,0.4,0.34,dbcd79ef-0b72-41d7-b48f-c8a76896b5b7,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
95,15e317ee-f6dc-46b5-b317-ee18348ceee2,1,Left_Bank,1.6,0.23,0.34,0.3,0ba567db-26d7-4ae0-9a60-d042999354f9,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
96,028d518d-fbcf-4c62-be91-d1d634cbead4,1,Right_Bank,5.5,0.28,0.28,0.33,37c5342c-0cc4-4f5a-935b-fbcb7f3007a9,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
97,40848925-ec77-4d98-98ed-47eec100e961,1,Left_Bank,4.25,0.31,0.45,0.55,3227ab16-2fc1-4baf-a4ee-bb444a074ef1,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
98,19715ef0-a1ad-4735-bf90-1fc547dd3984,2,Right_Bank,2,0.2,0.22,0.33,3227ab16-2fc1-4baf-a4ee-bb444a074ef1,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
99,3abe964d-f9a7-4c42-8c30-c789fff272cb,1,Right_Bank,5,0.22,0.2,0.3,2fe9e61b-dfc8-4963-8f45-06f046bd874e,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
100,b8114074-b288-4c48-8859-23952e4adfa1,1,Right_Bank,1.1,0.8,0.76,0.66,bd1c6d9e-eab9-4a50-a365-2780da26c2dc,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
101,651454c9-9945-41a9-a3f1-c24747d08cb7,2,Right_Bank,2.4,0.5,0.25,0.52,bd1c6d9e-eab9-4a50-a365-2780da26c2dc,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
102,11433f16-9b0b-45bd-aa96-34a712b65114,1,Left_Bank,2.5,0.28,0.44,0.38,53ab94bb-cfb1-481c-8655-1edd86db4640,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
103,c0afda9e-fde0-496b-ae08-69acda2bcff6,2,Right_Bank,2,0.27,0.2,0.37,53ab94bb-cfb1-481c-8655-1edd86db4640,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
104,8f3d420f-ebde-4f09-9172-af06ac91f031,3,Left_Bank,1,0.38,0.34,0.38,53ab94bb-cfb1-481c-8655-1edd86db4640,6/6/2019 11:13:18 PM,richie@qcinc.org,6/6/2019 11:13:18 PM,richie@qcinc.org
