ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
33,87f587dc-90cb-420f-bc2c-328a68d56eee,Pool,33,1,0.2,,0.3,,0.1,,0.7,90,10,,,,,,,,,,,,,,,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
34,87b11915-b0b3-42cc-8fd0-c153190dcfa2,Riffle,34,1,0.1,,0.1,,0.1,,0.9,70,10,20,,,,,,,,,,,,,,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
35,c58c2a58-9543-4a3a-beaf-43e0f00fdbf5,Rapid+,35,1,0.18,,0.2,,0.3,,0.7,50,20,30,,,,,,,,,,,,,0.45,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
36,81e929c0-8076-4de1-aa6f-cfbc60e8fb14,Riffle,36,1,0.16,,0.1,,0.1,,0.9,70,10,20,,,,,,,,,,,,,0.35,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
37,7e3abdc4-a734-4870-aa9f-67e7147c6a51,SSC,37,12,0.12,,0.3,,0.2,,0.6,80,20,,,,,,,,,,,,,,0.2,0.64,0.8,1.02,1.5,1.1,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
38,514d73dd-d9e7-46b4-8b87-c6b15a2f8843,Rapid+,38,1,0.2,,0.1,,,,0.9,70,20,10,,,,,,,,,,,,,0.36,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
39,0df40d11-6cb4-41b5-a1b3-999e42c5b555,Riffle,39,1,0.22,,0.1,,0.1,,0.8,70,20,10,,,,,,,,,,,,,0.46,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
40,b4c299ed-39d2-4ecf-ac3a-9138b4974f9d,Pool,40,1,0.2,,0.1,,,,0.9,80,10,10,,,,,,,,,,,,,0.48,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
41,8199083b-261d-491c-a1a2-d2fb1fecef3d,Riffle,41,1,0.18,,,,,,100,60,20,20,,,,,,,,,,,,,0.34,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
42,41317eb5-c66a-4d1a-8664-e8250a8caf74,Rapid+,42,1,0.17,,0.3,,0.2,,0.6,70,20,10,,,,,,,,,,,,,0.5,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
43,650aa7bf-8cb4-4828-91f0-cad7917f8c1d,Riffle,43,1,0.17,,0.1,,0.1,,0.9,60,20,20,,,,,,,,,,,,,0.25,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
44,4943268d-5681-4467-80db-6dad3e9332f6,Rapid+,44,1,0.2,,0.1,,,,0.9,70,20,10,,,,,,,,,,,,,0.37,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
45,ca5d678d-ee40-4a6c-91eb-ccb2228a8047,SSC,45,13,0.14,,0.1,,,,0.9,60,20,10,10,,,,,,,,,,,,0.19,1.26,1.19,1.17,1.3,1.7,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
46,0c372e15-dc2d-45d9-932a-e830a63de807,Riffle,46,1,0.13,,0.1,,,,0.9,80,10,10,,,,,,,,,,,,,0.41,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
47,1fd1b8b7-27db-44c5-9f17-88888edce013,Rapid+,47,1,0.2,,0.5,,0.4,,0.5,80,10,10,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
48,ec24027e-cabb-46e3-9d93-1dfc8f81a70e,Riffle,48,1,0.13,,,,,,100,80,10,10,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
49,232617e1-dad3-4b0d-a70f-2712754e7eef,Pool,49,1,0.2,,,,,,100,70,20,10,,,,,,,,,,,,,0.52,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
50,7a47f001-48ea-42d5-87b0-2e5489ff064d,Rapid+,50,1,0.17,,0.1,,0.1,,0.8,60,20,20,,,,,,,,,,,,,0.26,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
51,6d225ba8-0e9f-4c28-8ac3-0b8fc6cb24c8,Riffle,51,1,0.18,,0.1,,0.1,,0.9,70,20,10,,,,,,,,,,,,,0.37,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
52,aa81cdc7-2e11-408a-a095-720f119db3fa,Rapid+,52,1,,,0.1,,0.1,,0.8,50,40,10,,,,,,,,,,,,,0.45,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
53,f2540996-bc8a-429f-8033-67d25d668be4,SSC,53,14,0.12,,0.1,,0.2,,0.8,80,10,10,,,,,,,,,,,,,0.13,1.33,1.1,0.57,0.62,2.1,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
54,35cf8216-b6ff-4b66-8017-faa377d38118,Pool,54,1,0.17,,0.1,,0.1,,0.9,50,40,10,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
55,181ef645-5a2a-44ff-b6ec-84f2aea85693,OCA,55,1,,,0.2,,0.1,,0.7,100,,,,,,,,,,,,,,,0.15,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
56,ca5b88ea-1cb2-48b8-80b6-1757379e6881,Rapid+,56,1,0.2,,0.3,,0.3,,0.6,50,30,20,,,,,,,,,,,,,0.36,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
57,c84688b5-6fe2-4c0d-8c4d-2e15b862c51b,Riffle,57,1,0.17,,,,,,100,50,20,30,,,,,,,,,,,,,0.35,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
58,3ad34163-fd4f-479c-b994-c2ca25b4b000,Pool,58,1,0.19,,,,,,100,50,40,10,,,,,,,,,,,,,0.19,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
59,85fe59a3-fea0-4c54-96a1-05b9faeb8bcc,Rapid+,59,1,0.34,,0.1,,,,0.9,50,30,20,,,,,,,,,,,,,53,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
60,6b0a418d-6a16-47fc-9a01-f8f6245d3be3,Riffle,60,1,0.28,,0.1,,0.1,,0.9,,,,,1.03,54.5,38.5,38.5,38.5,54.5,38.5,13.65,27.3,19.3,154,0.34,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
61,bdd5cab8-49e2-48b1-a08a-a9cd2cd70d8c,Pool,61,1,0.24,,,,,,100,70,20,10,,,,,,,,,,,,,0.37,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
62,0e0efe63-2982-40eb-8b52-63cc8e9ca254,Rapid+,62,1,0.2,,0.1,,0.2,,0.8,50,30,20,,,,,,,,,,,,,0.37,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
63,e1eceab5-5f6a-435c-98c8-38925350911b,Riffle,63,15,0.24,,,,,,100,40,50,10,,,,,,,,,,,,,0.34,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
64,72776908-6a2c-4c86-ada3-4aa247d489d7,SSC,64,16,,,0.1,,0.2,,0.7,40,30,30,,,,,,,,,,,,,,1.8,1.6,1.19,1.7,1.75,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
65,0eb6e21a-eae7-4e58-b3ed-89ff76e06945,Pool,65,1,0.19,,0.1,,0.1,,0.9,80,10,10,,,,,,,,,,,,,0.49,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
66,32c549a1-3e45-4bee-a725-8b61ed2bcc3a,Rapid+,66,1,0.3,,0.2,,0.1,,0.8,60,30,10,,,,,,,,,,,,,0.43,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
67,02386026-846b-4a03-8949-e36f31d81975,Riffle,67,1,0.21,,10,,,,90,,,,,1.03,77,54.5,27.3,109,13.65,19.3,218,38.5,218,38.5,0.35,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
68,7bcec10d-0ea6-4194-85db-7a7264ba8c6e,Rapid+,68,1,0.2,,0.1,,,,0.9,40,40,20,,,,,,,,,,,,,0.43,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
69,0c31177a-4a37-418d-bf51-003e1e220f75,Riffle,69,1,0.2,,0.1,,,,0.9,,,,,3,77,54.5,38.5,109,6.85,9.65,77,54.5,77,54.5,0.39,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
70,5648941f-f2a1-4bc5-9852-804bf2cd7e0e,Rapid+,70,1,0.2,,,,,,100,40,30,30,,,,,,,,,,,,,0.36,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
71,c2ef23d3-4c93-40c9-9848-1160a99f3f4e,SSC,71,17,0.18,,0.4,,0.1,,0.5,80,20,,,,,,,,,,,,,,0.18,0.45,0.25,0.65,0.4,0.31,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
72,923d13e1-0411-49ff-a1bb-339124ff2b3d,Riffle,73,1,0.15,,0.1,,,,0.9,50,30,20,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
73,fdf2cac1-ac8b-4bae-88c5-b308161536a3,Pool,74,1,0.19,,,,,,100,60,30,10,,,,,,,,,,,,,0.43,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
74,185cebc6-610b-4673-86c4-a5c685c5416f,Riffle,75,1,0.28,,0.1,,0.1,,0.8,40,30,30,,,,,,,,,,,,,0.35,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
75,f1a6e35a-e4d2-4dec-a7a6-fcf4fc68bc48,Rapid+,76,1,0.22,,0.1,,0.1,,0.9,40,30,30,,,,,,,,,,,,,0.37,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
76,12e16e57-3a37-4713-b89c-8ee013770c8d,Riffle,77,1,0.15,,,,,,,60,30,10,,,,,,,,,,,,,0.33,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
77,23982e32-de63-46c3-b097-37160d3c5038,Pool,78,1,0.25,,,,0.5,,0.5,80,20,,,,,,,,,,,,,,0.64,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
78,5e4d9870-1a32-4096-a5ea-e29af2a65bb0,Riffle,79,1,0.29,,,,,,100,70,20,10,,,,,,,,,,,,,0.36,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
79,b4e48c10-35d2-4ac0-b2ee-b3f7e5ef4334,Pool,80,1,0.18,,0.1,,,,0.9,60,20,20,,,,,,,,,,,,,0.57,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
80,2252f9d9-4248-4ff1-b004-c39f9eddfc81,Rapid+,81,1,0.19,,0.1,,,,0.9,60,20,20,,,,,,,,,,,,,0.34,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
81,fab1d6e7-6532-4d4d-8b01-af8bea0726ee,Riffle,82,1,0.24,,0.1,,,,0.9,40,40,20,,,,,,,,,,,,,0.42,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
82,645d6cbe-693b-4589-924f-67e116a3b5fc,Pool,83,1,0.17,,,,0.1,,100,40,40,20,,,,,,,,,,,,,0.43,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
83,868836d8-5d3c-43d1-8dd5-04c463db3c8b,Riffle,84,1,0.18,,0.1,,0.1,,0.9,40,30,30,,,,,,,,,,,,,0.43,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
84,1a8b4f10-c17f-4aae-8c4a-8bdf7abdd773,SSC,85,1,0.13,,,,0.2,,0.8,70,20,10,,,,,,,,,,,,,0.21,0.47,0.57,0.97,0.79,0.95,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
