ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
33,b2c28f8c-4a1f-4278-a6c0-7f42c9466f45,Pool,33,1,0.51,,,10,10,,80,10,90,,,,,,,,,,,,,,1.09,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
34,c3facacd-7469-449c-a0f2-b99df260d70d,Riffle,34,1,0.42,,,20,,,80,,70,30,,1.03,13.65,27.3,1.03,54.5,6.85,38.5,4.85,19.3,38.5,109,0.61,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
35,aa5a9d78-c4c1-4c0a-83f2-d036a4bd3259,Run,35,1,0.78,,,20,,,80,,90,10,,,,,,,,,,,,,0.8,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
36,eb6c1f2c-0170-43e0-93ec-c91526f2732f,Pool,36,1,0.52,,,30,,,70,20,70,,,,,,,,,,,,,,1.6,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
37,cfd1f7c0-5556-4d97-82cb-13ffb7d64446,Run,37,1,0.82,,,30,,,70,,70,30,,,,,,,,,,,,,0.93,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
38,3739abb7-6cc6-4b54-9c2f-774a4a1ef380,Pool,38,1,0.61,,,20,,,80,10,80,10,,,,,,,,,,,,,1.21,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
39,d0adaefb-8a17-452a-8768-bb8c73cd3743,SSC,39,4,0.61,,10,30,,,60,90,10,,,,,,,,,,,,,,0.73,0.7,1.2,0.4,1.5,1.6,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
40,095061b0-84e7-4099-9eb1-7266ead17a86,Run,40,1,0.84,,,10,,,90,,90,10,,3,38.5,27.3,38.5,38.5,19.3,38.5,54.5,1.03,1.03,13.65,0.99,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
41,8a5e2ad2-8b89-4954-bbad-db6cd82f6002,Riffle,41,1,0.42,,,20,,,80,,100,,,1.03,1.03,77,6.85,77,38.5,109,77,77,38.5,54.5,0.78,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
42,be331a7a-ce56-40c4-ba0c-16044ea04412,SSC,42,5,0.42,,10,40,,,50,100,,,,,,,,,,,,,,,0.62,0.9,1.4,0.4,0.6,1.2,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
43,43456455-a42d-4360-90bd-51debfda2902,Pool,43,1,0.49,,,10,,,90,,90,10,,,,,,,,,,,,,1.31,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
44,6f5ae662-1a93-4fd3-a920-17a7aba4535e,Run,44,1,0.52,,,10,,,90,,90,10,,,,,,,,,,,,,0.79,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
45,d5cde1e4-817d-4b1e-9a91-639e4b9494ea,Riffle,45,1,0.42,,,10,10,,80,,80,20,,3,27.3,27.3,27.3,54.5,54.5,77,38.5,77,77,77,0.5,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
46,806bd0ab-5543-49d1-b119-f72bea961876,Riffle,46,6,0.6,,10,10,,,90,20,80,,,,,,,,,,,,,,0.64,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
47,305b1aa9-043c-489e-99be-307dff4b0838,Pool,47,6,0.49,,10,10,,,90,30,60,10,,,,,,,,,,,,,1.09,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
48,37c1f472-c08a-45be-8d26-7d11678328c4,Riffle,48,6,0.49,,10,,,,70,20,80,,,,,,,,,,,,,,0.74,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
49,f87dd00e-3f72-4bfa-a784-401aa4c9b1fd,Pool,49,6,0.52,,,,,,100,30,60,10,,,,,,,,,,,,,1.1,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
50,ca9c9ad6-6814-4955-b438-af8861d98e83,Pool,50,6,0.67,,,,30,,90,10,70,10,,,,,,,,,,,,,0.86,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
51,aa1d5032-f94d-48ab-a034-207b3f83fe3e,OCA,51,6,,,,30,,,70,90,,10,,,,,,,,,,,,,0.81,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
52,958b8e42-3e61-4dbc-8e93-d0944dd68d18,Riffle,52,6,0.79,,10,,,,90,10,60,30,,,,,,,,,,,,,0.85,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
53,4c2f3780-87f6-4d77-86ec-41867fd78c13,Pool,53,6,0.54,,20,10,,,80,30,70,,,,,,,,,,,,,,0.91,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
54,c5092b9a-7dd4-4ea8-8598-1afa3380abd1,Pool,54,6,0.62,,10,10,,,90,20,60,20,,,,,,,,,,,,,1.27,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
55,1b37915d-c8fd-4b61-88ae-3010e228e0e1,Riffle,55,6,0.53,,10,,,,90,20,80,,,,,,,,,,,,,,0.75,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
56,436fb2a8-c3ff-4119-8a95-b101febb203f,Pool,56,6,0.77,,10,,,,90,20,60,20,,,,,,,,,,,,,1.08,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
57,a59e38e7-04d3-4586-abf9-a039e71a32c9,Riffle,57,6,0.78,,,,,,100,10,80,10,,,,,,,,,,,,,0.71,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
58,b2ebf009-13b1-4f95-bdd8-23b0ff5a87b8,Pool,58,6,0.7,,,,,,100,10,70,20,,,,,,,,,,,,,1.04,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
59,0a138c1e-a4a2-4e7f-8ba3-ec43140b327c,Pool,59,6,0.6,,,,,,100,20,60,20,,,,,,,,,,,,,1.22,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
60,6aa1230c-5932-418f-8f79-bcac327d3c9b,Riffle,60,6,0.51,,,,,,100,10,70,20,,,,,,,,,,,,,0.57,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
61,e10db5f4-549a-4715-91fd-b633975ca71a,Pool,61,6,0.67,,,10,,,90,30,40,30,,,,,,,,,,,,,1.08,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
62,628dc96b-0762-4c20-952a-6b47ec6d5515,Pool,62,6,0.78,,20,,,,80,40,50,10,,,,,,,,,,,,,1.09,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
63,26478875-343e-4677-b1f3-b1aa6be21fcf,Pool,63,6,0.67,,10,,,,90,20,70,10,,,,,,,,,,,,,1.22,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
64,c9d5c3bf-0f21-4f9b-a4f3-cdb8bbdb8336,Riffle,64,6,0.96,,,10,,,90,10,70,20,,,,,,,,,,,,,0.97,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
65,4de60a92-f7e3-4818-91bc-c3ec122ec1e1,Pool,65,6,0.57,,20,,,,80,20,60,20,,,,,,,,,,,,,1.22,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
66,e4668ce4-877f-4167-9bec-9cd73a3f190c,Riffle,66,6,0.65,,,,,,100,20,80,,,,,,,,,,,,,,0.83,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
67,d307cc95-e1d2-43c6-bb58-124ac02e95ec,Pool,67,6,0.42,,,,,,100,20,80,,,,,,,,,,,,,,0.96,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
68,2006f3f8-eb8a-44d3-bdcd-de184ade4b4e,Riffle,68,6,0.71,,,10,,,90,20,80,,,,,,,,,,,,,,0.82,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
69,c0e3eebb-d2f6-4041-b415-5e8609f9ea60,Pool,69,6,0.35,,,,,,100,20,80,,,,,,,,,,,,,,0.91,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
70,a6742727-72d8-4cb7-b032-cb298bd6befe,Riffle,70,6,0.67,,,,,,100,20,100,10,,,,,,,,,,,,,0.89,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
71,5420c73c-2601-4441-8c06-db9fc0e56d94,Pool,71,6,0.41,,10,,,,90,10,70,20,,,,,,,,,,,,,1.19,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
72,58bfc00c-7c91-42d4-b241-e9f59c54839b,Pool,72,6,0.36,,10,,,,90,10,70,20,,,,,,,,,,,,,0.86,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
73,cbef2096-c436-4753-86d8-de1145243bfb,Pool,73,6,0.36,,10,,10,,90,20,60,20,,,,,,,,,,,,,1.19,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
74,1ab787f0-3adb-457a-a168-65da8e9c1f76,Riffle,74,6,0.39,,20,,10,,90,10,70,20,,,,,,,,,,,,,0.61,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
75,51fd14ff-0e50-43c8-b66d-8f892365d65d,Pool,75,6,0.39,,10,,10,,80,20,60,20,,,,,,,,,,,,,0.83,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
76,c750cea3-b222-419a-90d6-b18a8719d3af,Pool,76,1,0.76,,,,20,,80,40,40,20,,,,,,,,,,,,,1.75,,,,,,00306343-48cc-4c89-babe-904376f900b0,8/5/2020 15:42,richie@qcinc.org,8/5/2020 15:42,richie@qcinc.org
