ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
11,7d8875e9-2c8c-4116-90f4-f3b114cbddd4,Pool,11,1,0.34,,,40,10,,50,40,60,,,,,,,,,,,,,,0.62,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
12,39d9e6f5-3866-4ee8-b11a-073fd656ac5f,Riffle,12,1,0.33,,,20,,,80,,,,,1.03,1.03,13.65,13.65,19.3,9.65,27.3,27.3,27.3,19.3,0.06,0.33,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
13,48fa7089-91be-4c89-9b9a-55f37249a407,Pool,13,1,0.34,,,30,,,70,30,70,,,,,,,,,,,,,,0.66,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
14,d5c7a1a7-189a-4d63-bc3c-365f40afa0b0,Riffle,14,1,0.3,,,30,,,70,20,80,,,,,,,,,,,,,,0.48,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
15,7a2587dc-6264-4b91-b164-6acc488a9799,Pool,15,1,0.28,,,30,,,70,20,80,,,,,,,,,,,,,,0.51,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
16,2ad396dd-b651-4a0d-b0a7-fc6b0647f131,Riffle,16,1,0.27,,,10,,,90,20,80,,,,,,,,,,,,,,0.36,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
17,8540151d-7794-4d14-87aa-d57f8428286d,Pool,17,1,0.25,,,30,10,,70,40,60,,,,,,,,,,,,,,0.54,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
18,904e4f08-59d0-4f12-82f6-530e825e91c3,Run,18,1,0.36,,,30,,,70,20,80,,,,,,,,,,,,,,0.45,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
19,30d99969-2f8c-4f5b-8fba-63085bc57a1e,Riffle,19,1,0.33,,,30,,,70,30,70,,,,,,,,,,,,,,0.36,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
20,d69d751b-93d9-4d89-90f8-0fc04e05dc59,Pool,20,1,0.26,,,30,,,70,20,80,,,,,,,,,,,,,,0.48,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
21,d796d8c5-ac56-4cb9-9a8f-9f04856e77bf,Riffle,21,1,0.31,,,10,,,90,30,70,,,,,,,,,,,,,,0.52,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
22,f1ed654b-6186-4fad-8475-2229b18e32ed,Run,22,1,0.24,,,20,,,80,20,80,,,,,,,,,,,,,,0.35,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
23,f5799139-3808-4c31-b509-64c791e6560f,Pool,23,1,0.25,,30,30,,,50,30,70,,,,,,,,,,,,,,0.48,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
24,4aa80eef-5396-49dd-9491-b7c6df09153d,Riffle,24,1,0.25,,,10,,,90,20,80,,,,,,,,,,,,,,0.25,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
25,e746d605-c6a8-4da0-bf56-51d07e4da184,Pool,25,1,0.26,,,40,,,60,50,50,,,,,,,,,,,,,,0.56,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
26,a8ec9a99-c878-488d-b29c-7f6add5281de,Riffle,26,1,0.15,,,30,,,70,20,80,,,,,,,,,,,,,,0.34,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
27,7671cd30-0247-4819-83db-c386d937e9e3,Run,27,1,0.26,,,30,,,70,30,70,,,,,,,,,,,,,,0.36,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
28,56783773-e52d-45d2-8b77-d52f107a8a6e,Riffle,28,1,0.19,,10,10,,,90,20,80,,,,,,,,,,,,,,0.3,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
29,341f1d74-9869-468e-95eb-5a2ef51c0ec7,SSC,29,2,0.13,,,70,,,30,30,70,,,,,,,,,,,,,,0.3,2.48,1.39,1.27,1.98,0.99,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
30,f61e3fde-469e-4413-a871-cdbe1d1becb2,Run,30,3,0.26,,30,30,,,60,20,80,,,,,,,,,,,,,,0.44,2.61,3.22,2.66,2.05,2.35,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
31,27910835-2848-460f-881c-94137adcf88c,Pool,31,1,0.23,,10,30,,,70,30,70,,,,,,,,,,,,,,0.42,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
32,3356d6ea-5d67-4daf-8e8c-ec8a69775b37,Pool,32,1,0.21,,,10,,,90,20,80,,,,,,,,,,,,,,0.55,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
33,654b2669-e979-45a6-8656-cc0915dcb70f,Pool,33,1,0.32,,,10,,,90,20,80,,,,,,,,,,,,,,0.73,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
34,3c864d1d-de86-474b-a08e-289fb1972904,Riffle,34,1,0.25,,,10,,,90,20,80,,,,,,,,,,,,,,0.31,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
35,e0f84011-8608-4778-aa42-929eb00e6667,Pool,35,1,0.3,,,20,,,80,30,70,,,,,,,,,,,,,,0.64,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
36,bf70cafc-f20b-4d4e-8fcf-2ef5bad28035,Riffle,36,1,0.29,,,30,,,70,20,80,,,,,,,,,,,,,,0.37,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
37,ff342709-e27d-4106-9616-5147544bc58c,Pool,37,1,0.29,,,30,,,70,30,70,,,,,,,,,,,,,,0.47,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
38,92ae5a7c-4257-45d4-a7cc-e99156ef2b9d,Riffle,38,1,0.29,,,20,,,80,20,80,,,,,,,,,,,,,,0.38,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
39,5da1bba5-c5e7-4dcc-94d2-b201c796d8d7,Pool,39,1,0.23,,10,10,,,80,30,70,,,,,,,,,,,,,,0.56,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
40,df4de14a-9d30-4e8b-8b36-5e9824563972,Riffle,40,1,0.26,,10,30,,,60,20,80,,,,,,,,,,,,,,0.42,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
41,d3e6a237-00e7-430e-ac64-cc3bbeae6454,Pool,41,1,0.26,,40,10,,,60,30,70,,,,,,,,,,,,,,0.57,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
42,c31527a3-ced6-4264-97c8-53941c42d7c5,OCA,42,1,0.33,,,30,,,70,90,100,,,,,,,,,,,,,,0.38,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
43,c0539206-4054-496f-ad0a-c5d00581a0ea,Riffle,43,1,0.36,,10,20,,,70,30,70,,,,,,,,,,,,,,0.46,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
44,358200a7-b734-4c7e-a8d1-fefede0ad641,Pool,44,1,0.22,,,30,10,,70,40,60,,,,,,,,,,,,,,0.51,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
45,b964da19-4c10-464d-821a-44415e1e991b,Riffle,45,1,0.26,,10,20,,,80,20,80,,,,,,,,,,,,,,0.32,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
46,d46e436f-8159-4a3e-80f1-11d744667da0,Run,46,1,0.25,,,40,,,60,,,,,,,,,,,,,,,,0.34,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
47,61a87445-e8b1-4036-a4d5-3865ddb690b0,Riffle,47,1,0.24,,,10,,,90,20,80,,,,,,,,,,,,,,0.38,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
48,b7e21f4c-22e2-41f8-a170-06455385307f,Pool,48,1,0.28,,20,20,,,70,30,70,,,,,,,,,,,,,,0.58,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
49,03a906a9-fdc8-4176-b9af-7b7321838799,Riffle,49,1,0.27,,10,10,,,80,20,80,,,,,,,,,,,,,,0.32,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
50,aa73e734-9bbf-493e-97bc-57629af239a3,SSC,50,4,0.18,,10,20,,,70,90,10,,,,,,,,,,,,,,0.46,1.27,1.1,1.07,0.57,0.82,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
51,dbba26d6-728b-440f-8ff8-3280da449a86,SSC,51,5,0.14,,60,,,,40,90,10,,,,,,,,,,,,,,0.19,1.22,1.43,1.26,0.98,0.47,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
52,c08fb53a-5eb2-4589-9fa0-753880b306b9,Pool,52,1,0.31,,80,,,,20,40,60,,,,,,,,,,,,,,0.56,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
53,5d4a848d-1ec6-41a7-8129-0c708bcc6612,Pool,53,1,0.46,,40,,,,60,50,50,,,,,,,,,,,,,,0.5,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
54,b743b1f4-5afd-4ca1-8746-c42dada1df3c,Riffle,54,1,0.36,,30,10,,,70,50,50,,,,,,,,,,,,,,0.36,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
55,180983d4-61cc-40e4-9dfc-50e6a6d5a6cf,Pool,55,1,0.36,,10,,,60,70,30,70,,,,,,,,,,,,,,0.49,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
56,36390473-4207-4c88-a594-a87b817ad4f4,Run,56,1,0.39,,30,20,,,60,30,70,,,,,,,,,,,,,,0.49,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
57,4d6bc8a2-9128-423f-bf33-4604eb8c9251,OCA,57,1,0.37,,10,10,,,80,100,,,,,,,,,,,,,,,0.36,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
58,e23771fa-789e-462c-90ba-15446780515e,Riffle,58,1,0.32,,10,20,,,80,40,60,,,,,,,,,,,,,,0.42,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
59,83fa2da3-0520-4a5d-9dab-a0b99ff34a84,Pool,59,1,0.32,,20,20,,,70,30,70,,,,,,,,,,,,,,0.66,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
60,344f319c-f432-40f5-861f-a714685a3fde,Riffle,60,1,0.28,,10,20,10,,70,30,70,,,,,,,,,,,,,,0.28,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
61,f3cc511e-c049-444e-a42c-d6fc9b404b28,Pool,61,1,0.26,,30,10,10,,60,40,60,,,,,,,,,,,,,,0.62,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
62,54d4df67-520f-4d91-997a-faaca69ac5b2,SSC,62,6,0.2,,30,30,20,,30,40,60,,,,,,,,,,,,,,0.2,2.5,2.82,3.21,2.96,3.21,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
63,f9f83ba2-1898-4cf0-b13a-06b6637da691,Riffle,63,1,0.24,,10,20,,,70,20,80,,,,,,,,,,,,,,0.28,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
64,33776d1e-74de-45fb-a409-a7da469fbc6b,Pool,64,1,0.28,,40,,,,60,30,70,,,,,,,,,,,,,,0.55,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
65,c9f6b250-c42f-40b1-8aaa-236a3b4b470b,Riffle,65,1,0.28,,20,10,,,70,20,80,,,,,,,,,,,,,,0.44,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
66,795aac1d-21b6-4dfe-a3dc-984ea5fafd7d,Pool,66,1,0.28,,10,10,,,80,40,60,,,,,,,,,,,,,,0.6,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
67,8cbe433d-da76-4472-b7ca-01e5a130be1a,Riffle,67,1,0.25,,10,,,,90,20,80,,,,,,,,,,,,,,0.3,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
68,b5799d05-c4fd-4a26-ba6e-f5f0f3f6235c,Pool,68,1,0.25,,,20,,,80,30,70,,,,,,,,,,,,,,0.54,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
69,9a9c3e30-cc11-451a-a2ec-63f33c0c1c37,Pool,69,1,0.37,,10,10,10,,80,60,40,,,,,,,,,,,,,,0.58,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
70,9b1c0d86-8be6-4c0d-928e-36834ca986b3,Riffle,70,1,0.2,,10,,10,,80,20,80,,,,,,,,,,,,,,0.26,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
71,26ffc05e-db4a-4131-b6ea-58130a34652c,Pool,71,1,0.26,,10,20,10,,70,50,50,,,,,,,,,,,,,,0.58,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
72,ed8147d4-b17d-4e3a-a747-786cf30398d3,Pool,72,1,0.22,,30,,20,,60,40,60,,,,,,,,,,,,,,0.59,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
73,f281ab13-a5ad-429c-9383-91e47df68573,Riffle,73,1,0.37,,20,10,,,80,30,70,,,,,,,,,,,,,,0.44,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
74,c0807ea9-15d4-40c4-acc7-bf8c3eae1030,SSC,74,7,0.08,,10,40,,,60,100,,,,,,,,,,,,,,,0.48,1.67,2.62,1.75,1.55,1.81,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
75,3b565b1f-72b5-48bb-bc37-b7366ee994dc,OCA,75,1,0.44,,,80,,,20,100,,,,,,,,,,,,,,,0.56,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
76,a809d62d-a287-4c3b-b49c-2b6c43575023,Riffle,76,8,0.18,,20,20,,,70,30,70,,,,,,,,,,,,,,0.31,4.1,4.88,3.9,3.89,3.88,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
77,1fab73a9-9596-4ae7-9f12-c82317a30166,OCA,77,1,0.23,,,10,,,90,80,20,,,,,,,,,,,,,,0.23,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
78,2938905c-6f39-44a5-9711-3842cd1f81b2,OCA,78,1,0.23,,,40,,,60,100,,,,,,,,,,,,,,,0.28,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
79,7a901f95-2cec-4afe-884d-5a6c4f1f2d02,Pool,79,1,0.24,,10,,30,,60,40,60,,,,,,,,,,,,,,0.72,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
80,4c84d7db-78f7-4a02-962a-79c0be699a05,Pool,80,1,0.4,,40,,10,,50,60,40,,,,,,,,,,,,,,0.74,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
81,7579f423-de44-40a5-9162-e8f68cb62be1,Riffle,81,1,0.25,,10,10,,,90,30,70,,,,,,,,,,,,,,0.49,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
82,50e76fff-3c37-4c03-b097-d1117fa620cb,Pool,82,1,0.24,,20,,,,80,20,80,,,,,,,,,,,,,,0.66,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
83,829eba67-56a6-4973-b110-d40e832fd4fa,Pool,83,1,0.3,,30,,,,70,20,80,,,,,,,,,,,,,,0.38,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
84,acb31c78-1d65-4678-ad76-fa419666800a,Riffle,84,1,0.27,,10,,,,90,20,80,,,,,,,,,,,,,,0.62,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
85,1955545c-1531-4dd4-8f21-479f07df0bf7,SSC,85,9,0.12,,30,10,,,60,60,40,,,,,,,,,,,,,,0.23,2.12,1.53,1.74,1.62,1.48,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
86,f1670904-2bfa-49bd-bea5-f429fc7f9652,Pool,86,1,0.26,,40,,,,60,20,80,,,,,,,,,,,,,,0.46,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
87,f228b4e0-40ef-4e6a-a570-c2789d2f1e4d,Riffle,87,1,0.22,,,,,,100,20,80,,,,,,,,,,,,,,0.24,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
88,0cbac9ad-8d98-4d4d-b119-c833a5d6a25e,Pool,88,1,0.23,,,10,,,90,30,70,,,,,,,,,,,,,,0.61,,,,,,c03aac81-2be9-4365-a5c4-94ce7abd5b3b,7/12/2019 21:37,richie@qcinc.org,7/12/2019 21:37,richie@qcinc.org
