,ShortName,Name,MetricEngineName,MetricGroupName,DescriptiveText,UnitOfMeasure,UnitOfMeasureAbbrv,MetricCategory,FieldName,DASH_poss,DASH_gen,Easy,
22,SubEstCbl,Substrate Est: Cobbles,Aux and RBT,Visit Metric,Percent of cobbles (64-256 mm) within the wetted site area.,Percent,%,Substrate,NA,T,T,1,
23,FishCovTotal,Fish Cover: Total,Aux and RBT,Visit Metric,"Percent of wetted area with the following types of cover: aquatic vegetation, artificial, woody debris, and terrestrial vegetation.",Percent,%,Cover,NA,T,T,1,
24,UcutLgth_Pct,Percent Undercut by Length,Aux and RBT,Visit Metric,The percent of the wetted streambank length that is undercut.,Percent,%,Cover,NA,T,T,1,
25,UcutArea_Pct,Percent Undercut by Area,Aux and RBT,Visit Metric,The percent of the wetted channel area with undercut banks.,Percent,%,Cover,NA,T,T,1,
26,LWVol_WetTier1,Large Wood Volume: Wetted Tier1,Aux Metrics,Tier 1 Summary,Total volume of  large wood pieces  within the wetted channel and Slow Water/Pool channel units.,cubic-meter,m3,NA,NA,T,F,,
27,LWVol_BfTier1,Large Wood Volume: Bankfull Tier1,Aux Metrics,Tier 1 Summary,Total volume of  large wood pieces  within the wetted channel.,cubic-meter,m3,NA,NA,F,F,,
28,Q,Discharge,Aux Metrics,Visit Metric,The sum of station discharge across all  stations.  Station discharge is calculated as depth x velocity x station increment for all stations except first and last.  Station discharge for first and last station is 0.5 x station width x depth x velocity.,cubic-meter per second,m3/s,Size,NA,T,T,1,
29,SubEmbed_Avg,Substrate: Embeddedness Avg,Aux Metrics,Visit Metric,Average cobble embeddedness.,Percent,%,Substrate,NA,F,,,
30,SubEmbed_SD,Substrate: Embeddedness SD,Aux Metrics,Visit Metric,Standard Deviation of cobble embeddedness.,Percent,%,Substrate,NA,F,,,
31,SubD16,Substrate: D16,Aux Metrics,Visit Metric,Diameter of the 16th percentile particle derived from pebble counts.,Millimeter,mm,Substrate,NA,T,T,1,
32,SubD50,Substrate: D50,Aux Metrics,Visit Metric,Diameter of the 50th percentile particle derived from pebble counts.,Millimeter,mm,Substrate,NA,T,T,1,
33,SubD84,Substrate: D84,Aux Metrics,Visit Metric,Diameter of the 84th percentile particle derived from pebble counts.,Millimeter,mm,Substrate,NA,T,T,1,
34,SubLT2,Substrate < 2mm,Aux Metrics,Visit Metric,Average percentage of pool tail substrates comprised of fine sediment <2 mm.,Percent,%,Substrate,NA,F,,,
35,SubLT6,Substrate < 6mm,Aux Metrics,Visit Metric,Average percentage of pool tail substrates comprised of sediment <6 mm.,Percent,%,Substrate,NA,F,,,
36,Cond,Conductivity,Aux Metrics,Visit Metric,"Measure of the concentration of ionized materials in water, or the ability of water to conduct electrical current.",micro Siemens per meter,µS/m,WaterQuality,NA,T,F,,
37,Alk,Alkalinity,Aux Metrics,Visit Metric,Measure of the capacity of water to neutralize an acid (buffering capacity).,Parts per million,ppm,WaterQuality,NA,F,,,
38,RipCovBigTree,Riparian Cover: Big Tree,Aux Metrics,Visit Metric,Percent aerial coverage from big trees (>0.3 m DBH) in the canopy.,Percent,%,Riparian,NA,F,,,
39,RipCovConif,Riparian Cover: Coniferous,Aux Metrics,Visit Metric,Percent of coniferous cover in the canopy and understory.,Percent,%,Riparian,NA,F,,,
40,RipCovGrnd,Riparian Cover: Ground,Aux Metrics,Visit Metric,Percent  of groundcover vegetation.,Percent,%,Riparian,NA,F,,,
41,RipCovNonWood,Riparian Cover: Non-Woody,Aux Metrics,Visit Metric,Percent of non-woody vegetation cover in the understory and groundcover.,Percent,%,Riparian,NA,F,,,
42,RipCovUstory,Riparian Cover: Understory,Aux Metrics,Visit Metric,Percent of understory vegetation cover.,Percent,%,Riparian,NA,F,,,
43,RipCovWood,Riparian Cover: Woody,Aux Metrics,Visit Metric,"Percent of woody vegetation cover in the canopy, understory, and groundcover.",Percent,%,Riparian,NA,F,,,
44,LWVol_Wet,Large Wood Volume: Wetted,Aux Metrics,Visit Metric,Total volume of  large wood pieces  within the wetted channel.,cubic-meter,m3,Wood,NA,T,T,1,
45,LWVol_Bf,Large Wood Volume: Bankfull,Aux Metrics,Visit Metric,Total volume of  large wood pieces  within the bankfull channel.,cubic-meter,m3,Wood,NA,F,,,
46,LWVol_WetSlow,Large Wood Volume: Wetted Slow Water,Aux Metrics,Visit Metric,Total volume of  large wood pieces  within the wetted channel and Slow Water/Pool channel units.,cubic-meter,m3,Wood,NA,T,T,1,
47,LWVol_BfSlow,Large Wood Volume: Bankfull Slow Water,Aux Metrics,Visit Metric,Total volume of large wood pieces  within the bankfull channel and Slow Water/Pool channel units.,cubic-meter,m3,Wood,NA,F,,,
48,LWVol_WetFstTurb,Large Wood Volume: Wetted Fast Turbulent,Aux Metrics,Visit Metric,Total volume of  large wood pieces  within the wetted channel and Fast Water Turbulent channel units.,cubic-meter,m3,Wood,NA,T,T,1,
49,LWVol_BfFstTurb,Large Wood Volume: Bankfull Fast Turbulent,Aux Metrics,Visit Metric,Total volume of  large wood pieces  within the bankfull channel and Fast Water Turbulent channel units.,cubic-meter,m3,Wood,NA,F,,,
50,LWVol_WetFstNT,Large Wood Volume: Wetted Fast NonTurbulent,Aux Metrics,Visit Metric,Total volume of  large wood pieces  within the wetted channel and Fast Water Non-Turbulent channel units.,cubic-meter,m3,Wood,NA,T,T,1,
51,LWVol_BfFstNT,Large Wood Volume: Bankfull Fast NonTurbulent,Aux Metrics,Visit Metric,Total volume of  large wood pieces  within the bankfull channel and Fast Water Non-Turbulent channel units.,cubic-meter,m3,Wood,NA,F,,,
52,DriftBioMass,Drift Biomass,Aux Metrics,Visit Metric,Total biomass of invertebrates from drift samples.,gram per cubic meter,g/m3,WaterQuality,NA,F,,,
53,RipCovCanNone,Riparian Cover: No Canopy,Aux Metrics,Visit Metric,Percent of riparian canopy devoid of vegetation.,Percent,%,Riparian,NA,F,,,
54,Ucut_Area,Total Undercut Area,Aux Metrics,Visit Metric,"The total area of undercut banks.  Measured as the length*width of each undercut, then summed across the site",square-meter,m2,Cover,NA,T,T,1,
55,SolarSummr_Avg,Solar Access: Summer Avg,Aux Metrics,Visit Metric,Average available solar radiation from July-September.,Percent,%,Temperature,NA,F,,,
56,HydraModelResults,Hydraulic Model Results,Hydraulic Model,Visit Metric,Zipped file containing hydraulic model results.,NA,NA,NA,NA,F,,,
57,BathymetryImg,Bathymetry Image,Hydraulic Model,Visit Metric,Image displaying the water depth at a site.,NA,NA,NA,NA,F,,,
58,BndryCndtnsImg,Boundary Conditions Image,Hydraulic Model,Visit Metric,"Image displaying the input boundary conditions (Reach Extent, Wetted Area, Thalweg, etc.) to the hydraulic model.",NA,NA,NA,NA,F,,,
59,WettedDepthImg,Wetted Depth Image,Hydraulic Model,Visit Metric,Image displaying water depth results from the hydraulic model.,NA,NA,NA,NA,F,,,
60,WettedElevImg,Wetted Surface Elevation Image,Hydraulic Model,Visit Metric,Image displaying water surface elevation results from the hydraulic model.,NA,NA,NA,NA,F,,,
61,DepthImg,Depth Image,Hydraulic Model,Visit Metric,Image displaying  water depth at a site derived from the topographic survey.,NA,NA,NA,NA,F,,,
62,VelocityImg,Velocity Image,Hydraulic Model,Visit Metric,Image displaying velocity results from the hydraulic model.,NA,NA,NA,NA,F,,,
63,HydraModelInputs,Hydraulic Model Inputs,Hydraulic Model Data Preparation,Visit Metric,Zipped file containing input files to the hydraulic model.,NA,NA,NA,NA,F,,,
64,ChUnitID,Channel Unit ID,RBT,Channel Unit,Unique identifier of a Channel Unit.,NA,NA,NA,NA,T,T,1,
65,Tier1,Tier1,RBT,Channel Unit,Tier 1 channel unit type.,NA,NA,NA,NA,T,T,0,
66,Tier2,Tier2,RBT,Channel Unit,Tier 2 channel unit type.,NA,NA,NA,NA,F,,,
67,TotalVol,Total Volume,RBT,Channel Unit,Total volume of channel unit type.,cubic-meter,m3,NA,NA,F,,,
68,ChUnitNum,Channel Unit Number,RBT,Channel Unit,Channel Unit Number within a site as identified during field data collection.,NA,NA,NA,NA,T,T,0,
69,Dpth_Max,Max Depth,RBT,Channel Unit,Maximum depth of the wetted channel unit.,Meter,m,NA,NA,T,T,0,
70,DpthThlwgExit,Thalweg Exit Depth,RBT,Channel Unit,Depth of the thalweg at the downstream edge of the channel unit.,Meter,m,NA,NA,T,T,0,
71,DpthResid,Residual Depth,RBT,Channel Unit,Average residual depth of the channel unit.,Meter,m,NA,NA,T,T,1,
72,PolyArea,Polygon Area,RBT,Channel Unit,Area of the channel unit after clipped to the wetted extent.,square-meter,m2,NA,NA,T,T,2,
73,Tier1,Tier1,RBT,Tier 1 Summary,Tier 1 channel unit type.,NA,NA,NA,NA,F,,,
74,Freq,Frequency,RBT,Tier 1 Summary,Frequency of channel unit per 100 meters.,count per 100 meter,count/100m,NA,NA,T,T,2,
75,UnitSpacing,Channel Unit Spacing,RBT,Tier 1 Summary,Number of channel units of a particular type per 100m divided by the number of channel units of a particular type,Meter,m,NA,NA,F,,,
76,DpthThlwgMax_Avg,Thalweg Max Depth Avg,RBT,Tier 1 Summary,Maximum depth of the thalweg within the channel unit.,Meter,m,NA,NA,T,T,1,
77,DpthThlwgExit,Thalweg Exit Depth Avg,RBT,Tier 1 Summary,Depth of the thalweg at the downstream edge of the channel unit.,Meter,m,NA,NA,T,T,1,
78,DpthResid,Residual Depth,RBT,Tier 1 Summary,Average residual depth of the channel unit.,Meter,m,NA,NA,T,T,1,
79,Tier2,Tier2,RBT,Tier 2 Summary,Tier 2 channel unit type.,NA,NA,NA,NA,F,,,
80,Freq,Frequency,RBT,Tier 2 Summary,Frequency of channel unit per 100 meters.,count per 100 meter,count/100m,NA,NA,F,,,
81,Pct,Percent,RBT,Tier 2 Summary,Percent of wetted area for channel unit type.,Percent,%,NA,NA,F,,,
82,UnitSpacing,Channel Unit Spacing,RBT,Tier 2 Summary,Number of channel units of a particular type per 100m divided by the number of channel units of a particular type,Meter,m,NA,NA,F,,,
83,DpthThlwgMax_Avg,Thalweg Max Depth Avg,RBT,Tier 2 Summary,Maximum depth of the thalweg within the channel unit.,Meter,m,NA,NA,F,,,
84,DpthThlwgExit,Thalweg Exit Depth Avg,RBT,Tier 2 Summary,Depth of the thalweg at the downstream edge of the channel unit.,Meter,m,NA,NA,F,,,
85,DpthResid,Residual Depth,RBT,Tier 2 Summary,Average residual depth of the channel unit.,Meter,m,NA,NA,F,,,
86,Sin,Sinuosity,RBT,Visit Metric,Ratio of the thalweg length to the straight line distance between the start and end points of the thalweg.,ratio,NA,Complexity,NA,F,,,
87,WetVol,Wetted Volume,RBT,Visit Metric,Total wetted volume at a site.,cubic-meter,m3,Size,NA,F,,,
88,WetWdth_Int,Wetted Width Integrated,RBT,Visit Metric,Average width of the wetted polygon for a site.,Meter,m,Size,NA,T,T,2,
89,BfWdthInt,Bankfull Width Integrated,RBT,Visit Metric,Average width of the bankfull polygon for a site.,Meter,m,Size,NA,F,,,
90,Lgth_Wet,Wetted Site Length,RBT,Visit Metric,The total length of the wetted centerline derived from the wetted polygon.,Meter,m,Size,NA,T,T,2,
91,Lgth_Bf,Bankfull Site Length,RBT,Visit Metric,The total length of the bankfull centerline derived from the bankfull polygon.,Meter,m,Size,NA,F,,,
92,Lgth_Thlwg,Thalweg Site Length,RBT,Visit Metric,The total length of the thalweg at a site.,Meter,m,Size,NA,F,,,
93,RBT Outputs,RBT Outputs Zip,RBT,Visit Metric,Zipped file containing geodatabase output from the River Bathymetry Toolkit (RBT). Includes Geomorphic Change Detection (GCD) results.,NA,NA,NA,NA,F,,,
94,ResultsXML,Results XML,RBT,Visit Metric,XML file containing River Bathymetry Toolkit (RBT) calculation results.,NA,NA,NA,NA,F,,,
95,LogFile,Log File,RBT,Visit Metric,XML file containing a log of RBT output settings and survey QA messages.,NA,NA,NA,NA,F,,,
96,BfWdth_Avg,Bankfull Width Avg,RBT,Visit Metric,Average width of the bankfull channel measured from cross-sections.,Meter,m,Size,NA,F,,,
97,BfWDRat_Avg,Bankfull Width To Depth Ratio Avg,RBT,Visit Metric,Average width to depth ratios of the bankfull channel measured from cross-sections. Depths represent an average of 10 depths along each cross-section.,ratio,NA,Complexity,NA,F,,,
98,WetWdth_Avg,Wetted Width Avg,RBT,Visit Metric,Average width of the wetted channel measured from cross-sections.,Meter,m,Size,NA,T,F,,
99,WetWDRat_Avg,Wetted Width To Depth Ratio Avg,RBT,Visit Metric,Average width to depth ratio of the wetted channel measured from cross-sections. Depths represent an average of depths along each cross-section.,ratio,NA,Complexity,NA,F,,,
100,Area_Wet,Wetted Area,RBT,Visit Metric,The total wetted area of a site.,square-meter,m2,Size,NA,T,T,2,
101,Area_Bf,Bankfull Area,RBT,Visit Metric,The total bankfull area of a site.,square-meter,m2,Size,NA,F,,,
102,SlowWater_Area,Slow Water Area,RBT,Visit Metric,Total wetted surface area identified as Slow Water/Pool channel units.,square-meter,m2,ChannelUnit,NA,T,T,2,
103,SlowWater_Ct,Slow Water Count,RBT,Visit Metric,Number of  Slow Water/Pool channel units at a site.,Count,NA,ChannelUnit,NA,T,T,1,
104,SlowWater_Freq,Slow Water Frequency,RBT,Visit Metric,Number of Slow Water/Poolt channel units per 100 meters.,count per 100 meter,count/100m,ChannelUnit,NA,T,T,2,
105,SlowWater_Vol,Slow Water Volume,RBT,Visit Metric,Total wetted volume of all Slow Water/Pool channel units at a site.,cubic-meter,m3,ChannelUnit,NA,F,,,
106,SlowWater_Pct,Slow Water Percent,RBT,Visit Metric,Percent of wetted area identified asSlow Water/Pool channel units.,Percent,%,ChannelUnit,NA,T,T,2,
107,FstTurb_Area,Fast Turbulent Area,RBT,Visit Metric,Total wetted surface area identified as Fast Water Turbulent channel units.,square-meter,m2,ChannelUnit,NA,T,T,2,
108,FstTurb_Ct,Fast Turbulent Count,RBT,Visit Metric,Number of  Fast Water Turbulent channel units at a site.,Count,NA,ChannelUnit,NA,T,T,1,
109,FstTurb_Freq,Fast Turbulent Frequency,RBT,Visit Metric,Number of Fast Water Turbulent channel units per 100 meters.,count per 100 meter,count/100m,ChannelUnit,NA,T,T,2,
110,FstTurb_Vol,Fast Turbulent Volume,RBT,Visit Metric,Total wetted volume of all Fast Water Turbulent channel units at a site.,cubic-meter,m3,ChannelUnit,NA,F,,,
111,FstTurb_Pct,Fast Turbulent Percent,RBT,Visit Metric,Percent of wetted area identified as Fast Water Turbulent channel units.,Percent,%,ChannelUnit,NA,T,T,2,
112,FstNT_Area,Fast NonTurbulent Area,RBT,Visit Metric,Total wetted surface area identified as Fast Water Non-Turbulent channel units.,square-meter,m2,ChannelUnit,NA,T,T,2,
113,FstNT_Ct,Fast NonTurbulent Count,RBT,Visit Metric,Number of  Fast Water Non-Turbulent channel units at a site.,Count,NA,ChannelUnit,NA,T,T,1,
114,FstNT_Freq,Fast NonTurbulent Frequency,RBT,Visit Metric,Number of Fast Water Non-Turbulent channel units per 100 meters.,count per 100 meter,count/100m,ChannelUnit,NA,T,T,2,
115,FstNT_Vol,Fast NonTurbulent Volume,RBT,Visit Metric,Total wetted volume of all Fast Water Non-Turbulent channel units at a site.,cubic-meter,m3,ChannelUnit,NA,F,,,
116,FstNT_Pct,Fast NonTurbulent Percent,RBT,Visit Metric,Percent of wetted area identified as Fast Water Non-Turbulent channel units.,Percent,%,ChannelUnit,NA,T,T,2,
117,Grad,Gradient,RBT,Visit Metric,Site water surface gradient is calculated as the difference between the top of site (upstream) and bottom of site (downstream) water surface elevations divided by thalweg length.,Percent,%,Size,NA,F,,,
118,DpthThlwg_UF_CV,Thalweg Depth CV,RBT,Visit Metric,Retired metric.  Coefficient of Variation (CV) of thalweg depths at a site.  Filtering has been removed and metric is now the same as DpthThwg_CV.,ratio,NA,Complexity,NA,F,,,
119,BfWdth_CV,Bankfull Width CV,RBT,Visit Metric,Coefficient of Variation of the bankfull channel width measured from cross-sections.,ratio,NA,Complexity,NA,F,,,
120,BfWDRat_CV,Bankfull Width To Depth Ratio CV,RBT,Visit Metric,Coefficient of Variation of width to depth ratios of the bankfull channel measured from cross-sections. Depths represent an average of 10 depths along each cross-section.,ratio,NA,Complexity,NA,F,,,
121,WetWdth_CV,Wetted Width CV,RBT,Visit Metric,Coefficient of Variation of the wetted channel width measured from cross-sections.,ratio,NA,Complexity,NA,T,T,3,
122,WetWDRat_CV,Wetted Width To Depth Ratio CV,RBT,Visit Metric,Retired. Coefficient of Variation of wetted width to depth ratios derived from cross-sections.,ratio,NA,Complexity,NA,F,,,
123,DetrendElev_SD,Detrended Elevation SD,RBT,Visit Metric,Standard Deviation of all cells for the detrended DEM.,Meter,m,Complexity,NA,F,,,
124,Sin_CL,Sinuosity Via Centerline,RBT,Visit Metric,Ratio of the wetted centerline length (Site Length Wetted) and the straight line distance between the start and end points of the wetted centerline. Generated by the River Bathymetry Toolkit (RBT),ratio,NA,Complexity,NA,T,T,2,
125,BfVol,Bankfull Volume,RBT,Visit Metric,Total bankfull volume at a site.,cubic-meter,m3,Size,NA,F,,,
126,PoolResidDpth,Residual Pool Depth,RBT,Visit Metric,The average difference between the maximum depth and downstream end depth of all Slow Water/Pool channel units.,Meter,m,Size,NA,F,,,
127,DpthWet_SD,Wetted Depth SD,RBT,Visit Metric,Standard Deviation of water depths within the wetted channel.,Meter,m,Complexity,NA,F,,,
128,BfBraid,Bankfull Channel Braidedness,RBT,Visit Metric,Ratio of the total length of the bankfull mainstem plus side channels and the length of the mainstem channel.,ratio,NA,Complexity,NA,F,,,
129,BfChnl_Ct,Bankfull Channel Count,RBT,Visit Metric,Total number of channel segments (mainstem + side channels) identified in the bankfull channel.,Count,NA,Size,NA,F,,,
130,Bf_Island_Ct,Bankfull Channel Island Count,RBT,Visit Metric,The total number of islands in the bankfull polygon.,Count,NA,Complexity,NA,F,,,
131,BfMChnl_Part_Ct,Bankfull Main Channel Part Count,RBT,Visit Metric,Total count of bankfull mainstem channel segments.,Count,NA,Size,NA,F,,,
132,Bf_QIsland_Ct,Bankfull Channel Qualifying Island Count,RBT,Visit Metric,The number of qualifying islands in the bankfull polygon.,Count,NA,Complexity,NA,F,,,
133,Lgth_BfChnl,Bankfull Channel Total Length,RBT,Visit Metric,Total length of the main channel and all side channels at bankfull.,Meter,m,Size,NA,F,,,
134,BfSCWdth,Bankfull Side Channel Width,RBT,Visit Metric,Average bankfull width of side channel(s) measured from cross-sections.,Meter,m,Complexity,NA,F,,,
135,Bf_QIsland_Area,Bankfull Channel Qualifying Island Area,RBT,Visit Metric,The total area of all qualifying islands in the bankfull  polygon.,square-meter,m2,Complexity,NA,F,,,
136,GCDADCNtThckDffErrT0,GCD Avg Net Thickness Diff within Area of Detectable Change For T0: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T0.,Meter,m,NA,NA,F,,,
137,GCDADCNtThckDffErrT1,GCD Avg Net Thickness Diff within Area of Detectable Change For T-1: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T-1.,Meter,m,NA,NA,F,,,
138,GCDADCNtThckDffT0,GCD Avg Net Thickness Diff within Area of Detectable Change For T0,RBT,Visit Metric,"Average net thickness of difference between the current visit and first  year of sampling (T0) within the area of detectable change, which is the area where there was detectable change within the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
139,GCDADCNtThckDffT1,GCD Avg Net Thickness Diff within Area of Detectable Change For T-1,RBT,Visit Metric,"Average net thickness of difference between the current visit and the last sampling visit (T-1) within the area of detectable change, which is the area where there was detectable change within the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
140,GCDAOINtThckDffErrT0,GCD Avg Net Thickness Diff within Area of Interest For T0: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T0.,Meter,m,NA,NA,F,,,
141,GCDAOINtThckDffErrT1,GCD Avg Net Thickness Diff within Area of Interest For T-1: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T-1.,Meter,m,NA,NA,F,,,
142,GCDAOINtThckDffT0,GCD Avg Net Thickness Diff within Area of Interest For T0,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T0.,Meter,m,NA,NA,F,,,
143,GCDAOINtThckDffT1,GCD Avg Net Thickness Diff within Area of Interest For T-1,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T-1.,Meter,m,NA,NA,F,,,
144,GCDADCTtThckDffErrT0,GCD Avg Total Thickness Diff within Area of Detectable Change For T0: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of detectable change for T0.,Meter,m,NA,NA,F,,,
145,GCDADCTtThckDffErrT1,GCD Avg Total Thickness Diff within Area of Detectable Change For T-1: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of detectable change for T-1.,Meter,m,NA,NA,F,,,
146,GCDADCTtThckDffT0,GCD Avg Total Thickness Diff within Area of Detectable Change For T0,RBT,Visit Metric,"Average thickness of difference between the current visit and first  year of sampling (T0) within the area of detectable change, which is the area where there was detectable change within the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
147,GCDADCTtThckDffT1,GCD Avg Total Thickness Diff within Area of Detectable Change For T-1,RBT,Visit Metric,"Average thickness of difference between the current visit and most recent year of sampling (T-1) within the area of detectable change, which is the area where there was detectable change within the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
148,GCDAOITtThckDffErrT0,GCD Avg Total Thickness Diff within Area of Interest For T0: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest  for T0.,Meter,m,NA,NA,F,,,
149,GCDAOITtThckDffErrT1,GCD Avg Total Thickness Diff within Area of Interest For T-1: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T-1.,Meter,m,NA,NA,F,,,
150,GCDAOITtThckDffT0,GCD Avg Total Thickness Diff within Area of Interest For T0,RBT,Visit Metric,"Average total  thickness of difference between the current visit and earliest visit to the site (T0) within the area of interest, which is the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
151,GCDAOITtThckDffT1,GCD Avg Total Thickness Diff within Area of Interest For T-1,RBT,Visit Metric,"Average total thickness of difference between the current visit and most recent year of sampling (T-1) within the area of interest, which is the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
152,GCDAOIAreaDtctChngT0,GCD Percent of Area of Interest with Detectable Change For T0,RBT,Visit Metric,The percent of the total area of interest with detectable changes (i.e. either exceeding the minimum level of detection or with a proability greater then the confidence interval chosen by user) from current visit to earliest visit to the site (T0).,Percent,%,NA,NA,F,,,
153,GCDAOIAreaDtctChngT1,GCD Percent of Area of Interest with Detectable Change For T-1,RBT,Visit Metric,The percent of the total area of interest with detectable changes (i.e. either exceeding the minimum level of detection or with a proability greater then the confidence interval chosen by user) from current visit to the last visit to the site (T-1).,Percent,%,NA,NA,F,,,
154,GCDImbalPctT0,GCD Percent Imbalance For T0,RBT,Visit Metric,The percent depature from a 50%-50% equilibirum erosion/deposition balance from current visit to earliest visit to the site (T0).,Percent,%,NA,NA,F,,,
155,GCDImbalPctT1,GCD Percent Imbalance For T-1,RBT,Visit Metric,The percent depature from a 50%-50% equilibirum erosion/deposition balance from current visit to most recent visit to the site (T-1).,Percent,%,NA,NA,F,,,
156,GCDChnlVolDiffT0,GCD Percent Net Volume Ratio for T0,RBT,Visit Metric,The ratio of net volumetric change to the total volume of change between the current visit and the first visit to the site (T0).,Percent,%,NA,NA,F,,,
157,GCDChnlVolDiffT1,GCD Percent Net Volume Ratio for T-1,RBT,Visit Metric,The ratio of net volumetric change to the total volume of change between the current visit and the first visit to the site (T-1).,Percent,%,NA,NA,F,,,
158,WetBraid,Wetted Channel Braidedness,RBT,Visit Metric,Ratio of the total length of the wetted mainstem channel plus side channels and the length of the mainstem channel.,ratio,NA,Complexity,NA,T,T,2,
159,WetChnl_Ct,Wetted Channel Count,RBT,Visit Metric,Total number of channel segments (mainstem + side channels) identified in the wetted channel.,Count,NA,Size,NA,T,T,1,
